,franquicia,titulo_original,recaudacion
3120,The Godfather Collection,The Godfather: Part III,136766062.0
3144,Dexter Riley Collection,The Computer Wore Tennis Shoes,0.0
3146,The Mighty Ducks Collection,D2: The Mighty Ducks,45610410.0
3154,Herbie Collection,Herbie Goes Bananas,0.0
3162,Herbie Collection,Herbie Goes To Monte Carlo,0.0
3172,"Honey, I Shrunk the Kids Collection",Honey I Blew Up the Kid,58662452.0
3180,"Honey, I Shrunk the Kids Collection","Honey, I Shrunk the Kids",222724172.0
3184,The Jungle Book Collection,The Jungle Book,205843612.0
3187,Lady and the Tramp Collection,Lady and the Tramp,93600000.0
3189,The Little Mermaid Collection,The Little Mermaid,222300000.0
3197,The Mighty Ducks Collection,The Mighty Ducks,50752337.0
3199,The Muppet Collection,The Muppet Christmas Carol,27281507.0
3207,101 Dalmatians (Animated) Collection,One Hundred and One Dalmatians,215880014.0
3211,Peter Pan Collection,Peter Pan,87404651.0
3221,The Rescuers Collection,The Rescuers Down Under,47431461.0
3296,The Rescuers Collection,The Rescuers,71215869.0
3300,Witch Mountain Collection,Return from Witch Mountain,16393000.0
3304,Aladdin Collection,The Return of Jafar,0.0
3308,The Shaggy Dog Collection,The Shaggy D.A.,0.0
3312,Flubber Collection,Son of Flubber,0.0
3315,Splash Collection,Splash,69821334.0
3321,TRON Collection,Tron,33000000.0
3327,Halloween Collection,Halloween: H20,55041738.0
3329,Indiana Jones Collection,Indiana Jones and the Temple of Doom,333000000.0
3337,The Lord of the Rings Animated Collection,The Lord of the Rings,30471420.0
3345,Children of the Corn Collection,Children of the Corn,14000000.0
3417,All Dogs Go to Heaven Collection,All Dogs Go to Heaven,27100027.0
3462,Addams Family Collection,The Addams Family,191502426.0
3471,Charlotte's Web Collection,Charlotte's Web,0.0
3480,The Secret Of NIMH Collection,The Secret of NIMH,14665733.0
3496,Fievel Collection,An American Tail,84542002.0
3504,Fievel Collection,An American Tail: Fievel Goes West,40766041.0
3513,House Collection,House,0.0
3515,House Collection,House II: The Second Story,7800000.0
3527,The Gods Must Be Crazy Collection,The Gods Must Be Crazy,60000000.0
3543,The Gods Must Be Crazy Collection,The Gods Must Be Crazy II,0.0
3567,Air Bud Collection,Air Bud: Golden Receiver,10224116.0
3571,Henry: Portrait of a Serial Killer Collection,"Henry II, Portrait of a Serial Killer",0.0
3574,Henry: Portrait of a Serial Killer Collection,Henry: Portrait of a Serial Killer,0.0
3578,Rosemary's Baby Collection,Rosemary's Baby,33395426.0
3584,The Neverending Story Collection,The Neverending Story,20158808.0
3632,The Neverending Story Collection,The Neverending Story II: The Next Chapter,16283667.0
3696,Killer Tomatoes! Collection,Attack of the Killer Tomatoes!,0.0
3699,Blade Collection,Blade,131183530.0
3715,Cube Collection,Cube,501818.0
3757,Rush Hour Collection,Rush Hour,244386864.0
3761,Urban Legend,Urban Legend,72527595.0
3809,The Thing Collection,The Thing,19629760.0
3821,The Space Odyssey Series,2010,40400657.0
3825,Child's Play Collection,Bride of Chucky,50671850.0
3833,Vampires Collection,Vampires,0.0
3893,Elizabeth Collection,Elizabeth,82150642.0
3905,I Know What You Did Last Summer Collection,I Still Know What You Did Last Summer,40002112.0
3914,Stepford Collection,The Stepford Wives,0.0
3920,Rugrats Collection,The Rugrats Movie,100491683.0
3926,Godzilla (Showa) Collection,ゴジラ,0.0
3929,Godzilla (Heisei) Collection,Godzilla 1985,4100000.0
3959,Godzilla (Showa) Collection,Kingu Kongu tai Gojira,0.0
3965,King Kong (1933 series),King Kong,10000000.0
3969,King Kong (1976 series),King Kong,90614445.0
3973,King Kong (1976 series),King Kong Lives,4711220.0
3975,Fletch Collection,Fletch,59612888.0
3978,Fletch Collection,Fletch Lives,35150960.0
3984,Conan the Barbarian Collection,Red Sonja,6948633.0
4002,James Bond Collection,A View to a Kill,152427960.0
4014,Police Academy Collection,Police Academy,146198896.0
4018,Police Academy Collection,Police Academy 2: Their First Assignment,55600000.0
4022,Police Academy Collection,Police Academy 3: Back in Training,43579163.0
4026,Police Academy Collection,Police Academy 4: Citizens on Patrol,28061343.0
4028,Police Academy Collection,Police Academy 5: Assignment Miami Beach,19510371.0
4030,Police Academy Collection,Police Academy 6: City Under Siege,11567217.0
4032,Babe Collection,Babe: Pig in the City,69131860.0
4037,Star Trek: The Next Generation Collection,Star Trek: Insurrection,118000000.0
4041,Rambo Collection,Rambo: First Blood Part II,300400432.0
4057,Rambo Collection,First Blood,125212904.0
4061,Rambo Collection,Rambo III,189015611.0
4077,Romancing the Stone Collection,The Jewel of the Nile,96773200.0
4101,Romancing the Stone Collection,Romancing the Stone,86572238.0
4197,Cocoon Collection,Cocoon,85313124.0
4206,Cocoon Collection,Cocoon: The Return,25024919.0
4212,Rocky Collection,Rocky II,200182160.0
4213,Rocky Collection,Rocky III,270000000.0
4214,Rocky Collection,Rocky IV,300473716.0
4215,Rocky Collection,Rocky V,119946358.0
4216,The Karate Kid Collection,The Karate Kid,90815558.0
4219,The Karate Kid Collection,"The Karate Kid, Part II",115103979.0
4229,The Karate Kid Collection,"The Karate Kid, Part III",38956288.0
4233,National Lampoon's Vacation Collection,National Lampoon's Christmas Vacation,71320000.0
4235,The Gate Collection,The Gate,0.0
4247,The Gate Collection,The Gate II: Trespassers,0.0
4253,The Fly (1958 series),The Fly,3000000.0
4259,The Fly Collection,The Fly,60629159.0
4271,The Fly Collection,The Fly II,38903179.0
4283,Texas Chainsaw Massacre Collection,The Texas Chain Saw Massacre,30859000.0
4285,Texas Chainsaw Massacre Collection,The Texas Chainsaw Massacre 2,8025872.0
4286,Texas Chainsaw Massacre Collection,Leatherface: Texas Chainsaw Massacre III,5765562.0
4288,Texas Chainsaw Massacre Collection,Texas Chainsaw Massacre: The Next Generation,185898.0
4291,Crocodile Dundee Collection,Crocodile Dundee,328203506.0
4295,Crocodile Dundee Collection,Crocodile Dundee II,239606210.0
4299,The Hustler Collection,The Color of Money,52293982.0
4303,8MM Collection,8MM,96618699.0
4312,Pet Sematary Collection,Pet Sematary,57469467.0
4314,Pet Sematary Collection,Pet Sematary II,17092453.0
4316,Children of the Corn Collection,Children of the Corn II: The Final Sacrifice,6980986.0
4319,Children of the Corn Collection,Children of the Corn III: Urban Harvest,0.0
4323,Airport Collection,Airport,100489151.0
4335,Airport Collection,Airport 1975,47000000.0
4343,Airport Collection,Airport '77,30000000.0
4351,Alligator Collection,Alligator,0.0
4354,Westworld Collection,Westworld,0.0
4361,Planet of the Apes Original Collection,Planet of the Apes,33395426.0
4369,Planet of the Apes Original Collection,Beneath the Planet of the Apes,18999718.0
4375,Planet of the Apes Original Collection,Battle for the Planet of the Apes,8844595.0
4379,Planet of the Apes Original Collection,Conquest of the Planet of the Apes,9700000.0
4383,Planet of the Apes Original Collection,Escape from the Planet of the Apes,12348905.0
4387,Airport Collection,The Concorde... Airport '79,13015688.0
4396,The Poseidon Adventure Collection,Beyond the Poseidon Adventure,0.0
4399,Analyze Collection,Analyze This,176885658.0
4415,Cruel Intentions Collection,Cruel Intentions,75902208.0
4442,Carrie Collection,The Rage: Carrie 2,17762705.0
4448,The Matrix Collection,The Matrix,463517383.0
4464,The Mummy Collection,The Mummy,415885488.0
4476,The Black Mask Collection,黑侠,0.0
4482,Star Wars Collection,Star Wars: Episode I - The Phantom Menace,924317558.0
4485,The Mummy (Universal Series),The Mummy,0.0
4488,The Mummy (Hammer Series),The Mummy,0.0
4490,The Mummy (Universal Series),The Mummy's Curse,0.0
4491,The Mummy (Universal Series),The Mummy's Ghost,0.0
4492,The Mummy (Universal Series),The Mummy's Hand,0.0
4493,The Mummy (Universal Series),The Mummy's Tomb,0.0
4498,Superman Collection,Superman,300218018.0
4522,Superman Collection,Superman II,190458706.0
4546,Superman Collection,Superman III,75850624.0
4666,Superman Collection,Superman IV: The Quest for Peace,19300000.0
4786,Dracula (Universal Series),Dracula,1012189.0
4789,Dracula (Universal Series),House of Dracula,0.0
4791,Frankenstein (Universal Series),House of Frankenstein,0.0
4799,Frankenstein (Universal Series),Frankenstein,12000000.0
4802,Frankenstein (Universal Series),Son of Frankenstein,0.0
4804,Frankenstein (Universal Series),The Ghost of Frankenstein,0.0
4807,The Wolf Man (Universal Series),Frankenstein Meets the Wolf Man,0.0
4810,Frankenstein (Hammer Series),The Curse of Frankenstein,0.0
4812,Dracula (Universal Series),Son of Dracula,0.0
4814,The Wolf Man (Universal Series),The Wolf Man,0.0
4816,The Howling Collection,Howling II: Stirba - Werewolf Bitch,0.0
4824,Rocky Horror Collection,The Rocky Horror Picture Show,112892319.0
4840,Swamp Thing Collection,Swamp Thing,0.0
4842,Austin Powers Collection,Austin Powers: The Spy Who Shagged Me,310940086.0
4858,Tarzan (Animation) Collection,Tarzan,448000000.0
4862,American Pie Collection,American Pie,235483004.0
4870,Tales of the Four Seasons,Conte d'automne,0.0
4876,The Muppet Collection,Muppets from Space,16290976.0
4884,Blair Witch Collection,The Blair Witch Project,248000000.0
4888,Lake Placid Collection,Lake Placid,56870414.0
4903,Ghostbusters Collection,Ghostbusters,295212467.0
4909,Ghostbusters Collection,Ghostbusters II,215394738.0
4911,Inspector Gadget Collection,Inspector Gadget,0.0
4959,The Adventures of Antoine Doinel,Les Quatre Cents Coups,0.0
4965,Allan Quatermain Collection,Allan Quatermain and the Lost City of Gold,0.0
