,titulo_original,pais
48729,Anne Of Green Gables: The Continuing Story,Canada
48737,Sting of the Black Scorpion,United States of America
48739,Black Scorpion,United States of America
48741,Black Scorpion II: Aftershock,United States of America
48745,Death Train,United Kingdom
48746,Death Train,United States of America
48763,The Parent Trap II,
48764,"Family Guy Presents: Something, Something, Something, Dark Side",United States of America
48770,"Puff, the Magic Dragon",
48773,The Shadow Strikes,United States of America
48774,Hellboy Animated: Blood and Iron,United States of America
48781,Nancy Drew... Reporter,United States of America
48784,Sinister 2,United States of America
48791,Further Adventures of the Wilderness Family,United States of America
48793,Spud 2: The Madness Continues,South Africa
48795,Painted Skin: The Resurrection,China
48799,Dragon Nest: Warriors' Dawn,China
48803,Dragon Nest: Warriors' Dawn,France
48807,Dragon Nest: Warriors' Dawn,United States of America
48847,Curious George 2: Follow That Monkey!,United States of America
48853,Dungeons & Dragons: The Book of Vile Darkness,Bulgaria
48854,Dungeons & Dragons: The Book of Vile Darkness,United States of America
48861,সীমাবদ্ধ,
48862,劇場版 魔法少女まどか☆マギカ [前編] 始まりの物語,Japan
48865,Always san-chôme no yûh,Japan
48867,進撃の巨人 ATTACK ON TITAN,Japan
48887,Gekijô-ban - Bishôjo senshi Sêrâ Mûn S,United States of America
48890,劇場版 美少女戦士セーラームーンＲ,Japan
48898,美少女戦士セーラームーンSuperS セーラー９戦士集結！ブラック・ドリーム・ホールの奇跡,Japan
48901,Азазель,
48906,Турецкий гамбит,Russia
48916,Daisy Town,Belgium
48917,Daisy Town,France
48934,図書館戦争,Japan
48946,Sharpe's Challenge,United Kingdom
48962,The Angrez,
48964,Arthur 3: la guerre des deux mondes,France
48976,"Get Smart, Again!",United States of America
48982,Hard Time: Hostage Hotel,United States of America
48985,Street Kings 2: Motor City,United States of America
48988,"Hâdo ribenji, Mirî: Buraddi batoru",Japan
48992,ハード・リベンジ、ミリー,
48996,The Hunchback of Notre Dame II,United States of America
49020,HK/変態仮面,Japan
49024,Moskva-Kassiopeya,Russia
49028,Mythica: The Darkspore,United States of America
49031,Santa Baby,United States of America
49032,Santa Baby,Canada
49033,Santa Baby,Germany
49040,Napoli milionaria,Italy
49041,ストリートファイターZERO,Japan
49045,Børning,Norway
49047,The Rise of the Krays,United Kingdom
49050,Hot Wheels Acceleracers: Ignition,Canada
49053,キュレムVS聖剣士ケルディオ,Japan
49083,幻影の覇者 ゾロアーク,Japan
49101,Contracted: Phase II,United States of America
49104,破壊の繭とディアンシー,Japan
49108,ポケモン・ザ・ムービーXY 光輪の超魔神 フーパ,Japan
49117,Mrs. Miracle,Canada
49119,Mrs. Miracle,United States of America
49165,Santa Baby 2,Canada
49166,Santa Baby 2,United States of America
49173,The Transporter Refueled,Belgium
49174,The Transporter Refueled,China
49175,The Transporter Refueled,France
49182,La Vérité si je Mens ! 3,France
49186,La Vérité si je Mens ! 2,France
49191,Fallen,United States of America
49195,Fallen,Canada
49215,太平轮(上),China
49217,Return to Halloweentown,
49227,Snow 2: Brain Freeze,Canada
49228,Snow 2: Brain Freeze,United States of America
49233,Twitches Too,United States of America
49249,Papa ou maman,France
49254,12 Rounds 3: Lockdown,United States of America
49256,La casa 5,Italy
49260,Robert the Doll,United Kingdom
49261,La morte viene dal pianeta Aytin,Italy
49262,進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,Japan
49282,劇場版 魔法少女まどか☆マギカ[新編]叛逆の物語,Japan
49285,劇場版 魔法少女まどか☆マギカ[後編] 永遠の物語,Japan
49288,08/15,Germany
49290,Scanner Cop,United States of America
49296,Fack ju Göhte 2,Germany
49298,The Brave Little Toaster to the Rescue,
49302,A Date with the Falcon,United States of America
49304,Varg Veum - Svarte får,Norway
49310,Witchboard 2: The Devil's Doorway,United States of America
49312,リトルウィッチアカデミア,Japan
49316,Das Sams,Germany
49317,Sissi - Schicksalsjahre einer Kaiserin,Germany
49318,Sissi - Schicksalsjahre einer Kaiserin,Austria
49325,Sissi,Austria
49328,Robot Wars,United States of America
49340,Robo Warriors,Philippines
49349,Das ewige Leben,Austria
49367,Hotel Transylvania 2,United States of America
49379,An American Girl: Saige Paints the Sky,United States of America
49380,"To Sir, with Love II",United States of America
49381,Tremors 5: Bloodlines,United States of America
49384,Wonder Woman,United States of America
49426,Iron Sky: The Coming Race,Belgium
49428,Iron Sky: The Coming Race,Finland
49430,Iron Sky: The Coming Race,Germany
49498,Pitch Perfect 3,
49499,El pico 2,Spain
49500,Argo 2,Hungary
49503,Runt Page,
49504,The Pie-Covered Wagon,
49505,Fuga de cerebros 2,Spain
49508,Nobels testamente,Sweden
49512,Carry On Jack,United Kingdom
49513,Kokowääh 2,Germany
49515,The Adventures of Mickey Matson and the Copperhead Conspiracy,
49516,The Falls,
49518,Arrangiatevi!,
49519,"Pane, amore e...",Italy
49521,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,United States of America
49525,McHale's Navy Joins the Air Force,
49526,Sleepaway Camp IV: The Survivor,United States of America
49527,The Decline of Western Civilization Part III,United States of America
49528,The Hitcher II: I've Been Waiting,United States of America
49530,杀破狼2,China
49554,타짜,South Korea
49556,สี่แพร่ง,Thailand
49558,공공의 적 2,South Korea
49564,Chin Kei Bin 2 - Fa Tou Tai Kam,Hong Kong
49568,硬汉,China
49569,硬汉,Hong Kong
49572,Ying Han 2,
49573,Lucky Luke,Italy
49574,Lucky Luke,United States of America
49577,クローズ EXPLODE,Japan
49579,Операция «С новым годом»,Russia
49581,竊聽風雲,Hong Kong
49593,寒戰,Hong Kong
49605,竊聽風雲 2,Hong Kong
49614,竊聽風雲 3,Hong Kong
49616,竊聽風雲 3,China
49662,BRAVE HEARTS 海猿,Japan
49664,暗戰 2,Hong Kong
49672,Ostwind,Germany
49676,Blondie Has Servant Trouble,United States of America
49677,李碧華鬼魅系列：奇幻夜,Hong Kong
49678,Paranormal Activity: The Ghost Dimension,United States of America
49682,La noche de las gaviotas,Spain
49685,Снежная королева 2: Перезаморозка,Russia
49689,David,Germany
49691,David,Italy
49693,David,United States of America
49737,Fireworks,United States of America
49738,K-9: P.I.,United States of America
49741,Half Past Dead 2,United States of America
49743,Balto III: Wings of Change,United States of America
49746,Long hu dou,Hong Kong
49748,Johan Falk: De 107 patrioterna,Sweden
49754,Fasandræberne,Denmark
49772,All Hallows' Eve,United States of America
49773,Xiang Gang you ge He Li Huo,Hong Kong
49781,Lake Placid 2,United States of America
49782,Lake Placid 2,Canada
49785,Lake Placid 3,United States of America
49801,Lake Placid: The Final Chapter,United States of America
49803,Lobo Guerreiro,China
49812,Blade Violent - I violenti,France
49813,Blade Violent - I violenti,Italy
49828,조선명탐정: 각시투구꽃의 비밀,South Korea
49833,Bloodsport: The Dark Kumite,Belgium
49835,Антикиллер,Russia
49837,"Gardemariny, Vperyod!",Russia
49841,Неуловимые мстители,Russia
49844,Sharpe's Company,United Kingdom
49876,Sharpe's Enemy,United Kingdom
49900,Sharpe's Honour,United Kingdom
49918,Creed,United States of America
49922,Le Gendarme à New York,France
49923,Le Gendarme en balade,France
49924,Le Gendarme en balade,Italy
49925,Le Gendarme de Saint-Tropez,France
49927,Le gendarme et les extra-terrestres,France
49931,Sharpe's Regiment,United Kingdom
49940,"Pane, amore e gelosia",
49942,La rivincita di Natale,Italy
49944,Dov'è la libertà...?,Italy
49948,Sharpe's Siege,United Kingdom
49957,Risate di gioia,Italy
49958,Totò e Carolina,Italy
49960,Les sous-doués,France
49961,ദേവാസുരം,India
49963,Sharpe's Mission,United Kingdom
49981,Le retour du grand blond,France
49983,Алиса в стране чудес,Russia
49987,"Vivat, Gardemariny!",Russia
49991,Gardemariny III,Russia
49995,Novye Priklyucheniya Neulovimykh,Russia
49998,"Korona Rossiyskoy Imperii, ili Snova Neulovimye",Russia
50001,Маугли,Russia
50003,"Быстрее, чем кролики",Russia
50004,Hornblower: The Even Chance,United Kingdom
50008,О чём ещё говорят мужчины,Russia
50010,Anacondas: Trail of Blood,United States of America
50011,Anacondas: Trail of Blood,Romania
50022,Beneath the Blue,
50024,Dark Rising 2:  Summer Strikes Back,Canada
50028,Ma and Pa Kettle Go to Town,United States of America
50029,獨臂刀王,Hong Kong
50030,Can ku da ci sha,Hong Kong
50032,Xue di zi,Hong Kong
50034,98古惑仔之龍爭虎鬥,Hong Kong
50037,Sharpe's Revenge,United Kingdom
50055,Recep İvedik,
50056,Recep İvedik 2,Turkey
50057,Recep İvedik 3,Turkey
50058,Recep İvedik 4,Turkey
50062,Tarzan's Fight for Life,United States of America
50064,Hälsoresan,Sweden
50065,My Little Pony: Equestria Girls - Rainbow Rocks,Canada
50066,My Little Pony: Equestria Girls - Rainbow Rocks,United States of America
50077,My Little Pony: Equestria Girls - Friendship Games,Canada
50079,My Little Pony: Equestria Girls - Friendship Games,United States of America
50093,Villmark 2,Norway
50094,Fuga dal Bronx,Italy
50100,Extralarge: Black Magic,Germany
50101,Extralarge: Black Magic,Italy
50106,Spud 3: Learning to Fly,South Africa
50107,Mega Shark vs. Mecha Shark,United States of America
50110,Eating Out: Drama Camp,
50111,Madeline: Lost in Paris,Canada
50112,Madeline: Lost in Paris,United States of America
50113,Babysitting 2,France
50116,劇場版「空の境界」 第一章 俯瞰風景,Japan
50122,劇場版「空の境界」第二章 殺人考察（前）,Japan
50128,劇場版「空の境界」第三章 痛覚残留,Japan
50134,劇場版「空の境界」第六章 忘却録音,Japan
50136,劇場版「空の境界」第七章 殺人考察（後）,Japan
50138,Another Gay Sequel: Gays Gone Wild!,Germany
50140,Another Gay Sequel: Gays Gone Wild!,United States of America
50146,Pierino contro tutti,Italy
50148,Sien lui yau wan III: Do do do,Hong Kong
50152,Northpole,
50158,Wizards of Waverly Place: The Movie,United States of America
50163,Rudolph's Shiny New Year,
50165,Kôkaku Kidôtai,Japan
50167,Zoolander 2,United States of America
50169,Johan Falk: De fredlösa,Sweden
50171,Johan Falk: Operation Näktergal,Sweden
50173,Pyramiden,Sweden
50182,The Lion Guard: Return of the Roar,
50185,逃學威龍,Hong Kong
50188,Bowery Buckaroos,United States of America
50190,寄生獣,Japan
50196,寄生獣 完結編,Japan
50202,Uuno Turhapuro – This Is My Life,Finland
50203,Uuno Turhapuro - pisnismies,
50204,Tupla-Uuno,Finland
50205,Uuno Turhapuro – kaksoisagentti,
50206,Uuno Turhapuro muuttaa maalle,
50207,Uuno Turhapuron muisti palailee pätkittäin,
50208,Uuno Turhapuro menettää muistinsa,Finland
50209,Uuno Turhapuron Aviokriisi,
50210,"Rautakauppias Uuno Turhapuro, presidentin vävy",
50212,Häpy Endkö? Eli kuinka Uuno Turhapuro sai niin kauniin ja rikkaan vaimon,Finland
50213,Lottovoittaja UKK Turhapuro,Finland
50214,Professori Uuno D.G. Turhapuro,Finland
50215,"Totò, Peppino e i fuorilegge",Italy
50216,La Banda degli Onesti,Italy
50217,"Totò, lascia o raddoppia?",
50218,Jimi Plays Monterey,United States of America
50220,Daddy's Home,United States of America
50223,"Murder, She Baked: A Chocolate Chip Cookie Mystery",Canada
50229,"Murder, She Baked: A Plum Pudding Murder Mystery",United States of America
50233,The Bridge,Canada
50235,Kung Fu Panda 3,China
50236,Kung Fu Panda 3,United States of America
50275,銀河英雄伝説: わが征くは星の大海,Japan
50281,Alligator 2 - The Mutation,United States of America
50282,Dick Tracy Meets Gruesome,United States of America
50286,Rudolph and Frosty's Christmas in July,
50289,"As Mil e Uma Noites: Volume 1, O Inquieto",Germany
50294,"As Mil e Uma Noites: Volume 1, O Inquieto",Portugal
50299,"As Mil e Uma Noites: Volume 1, O Inquieto",France
50334,BORUTO -NARUTO THE MOVIE-,Japan
50337,The Last: Naruto the Movie,Japan
50340,Thou Shalt Laugh 3,
50341,Thou Shalt Laugh,
50342,Thou Shalt Laugh 2 - The Deuce,United States of America
50343,僕等がいた 前篇,Japan
50344,僕等がいた 後篇,
50345,F.C. De Kampioenen: Kampioen zijn blijft plezant,
50346,Angels' Alley,United States of America
50349,K3 en het IJsprinsesje,Belgium
50350,Furia à Bahia pour OSS 117,France
50352,Furia à Bahia pour OSS 117,Italy
50358,Slime City,United States of America
50359,The Cheetah Girls: One World,United States of America
50369,映画　暗殺教室,Japan
50377,Borsalino and Co.,France
50380,The Love Bug,
50384,The Rise & Fall of a White Collar Hooligan,United Kingdom
50394,Derrick contre Superman,
50395,Alle for én,Denmark
50396,Klassefesten,Denmark
50397,鉄拳 ブラッド・ベンジェンス,Japan
50421,ラストオーダー -ファイナルファンタジーVII-,Japan
50427,劇場版 NARUTO 大活劇! 雪姫忍法帖だってばよ!!,Japan
50455,Smugglers' Cove,United States of America
50457,Tarzan and the Leopard Woman,
50463,Witchcraft,
50464,Witchcraft II: The Temptress,United States of America
50465,Deathstalker and the Warriors from Hell,United States of America
50466,Deathstalker and the Warriors from Hell,Mexico
50471,Deathstalker IV: Match of Titans,United States of America
50474,Dream a Little Dream 2,United States of America
50476,La 7ème compagnie au clair de lune,France
50477,Ride Along 2,United States of America
50485,Batman: Bad Blood,United States of America
50491,एबीसीडी,India
50493,Seeds of Yesterday,
50499,Revenge of the Stepford Wives,United States of America
50503,DEATH NOTE リライト2 Lを継ぐ者,
50509,Трое из Простоквашино,Russia
50510,Kôkaku kidôtai: Stand Alone Complex - Solid State Society,Japan
50515,Samyy Luchshiy Film 2,Russia
50516,Jarhead 3: The Siege,United States of America
50525,"Crouching Tiger, Hidden Dragon: Sword of Destiny",China
50534,London Has Fallen,Bulgaria
50535,London Has Fallen,United States of America
50536,London Has Fallen,United Kingdom
50570,Jesse Stone: Lost in Paradise,United States of America
50574,Carry On Henry,United Kingdom
50578,Carry On Up the Jungle,United Kingdom
50580,Carry On Matron,United Kingdom
50581,Carry On at Your Convenience,United Kingdom
50582,Carry On Abroad,United Kingdom
50583,What the Bleep! Down the Rabbit Hole,United States of America
50585,Napapiirin sankarit 2,Finland
50587,Carry On Loving,United Kingdom
50589,राज़,India
50591,Carry On Again Doctor,United Kingdom
50593,葉問3,Hong Kong
50605,Les Profs,France
50607,Pitbull. Nowe porządki,Poland
50611,Pitbull,Poland
50617,Jue se wu qi,Hong Kong
50623,"Du är inte klok, Madicken",Sweden
50625,花と蛇,Japan
50628,Fimfárum Jana Wericha,
50630,Fimfárum 2,
50632,Nya hyss av Emil i Lönneberga,Sweden
50636,Welcome,India
50640,भूतनाथ,India
50642,Golmaal Returns,India
50643,రేసుగుర్రం,India
50648,Dabangg,India
50651,Golmaal 3,India
50655,रखता चरित्र,India
50667,1920: Evil Returns,India
50669,All Stars,Netherlands
50670,Open Season: Scared Silly,United States of America
50682,Kustom Kar Kommandos,United States of America
50683,Der kleine Eisbär,Germany
50686,Singham Returns,India
50690,Ocho apellidos catalanes,Spain
50700,Thumb Wars: The Phantom Cuticle,United States of America
50702,Thumbtanic,
50703,The Little Bear Movie,Canada
50709,Far til fire - gi'r aldrig op!,Denmark
50715,Fighting Fools,United States of America
50716,Hold That Baby!,United States of America
50717,Hate Story 3,India
50719,All Stars 2: Old Stars,Netherlands
50721,Knerten,Norway
50727,The Ouija Exorcism,United States of America
50728,Täterätää - Die Kirche bleibt im Dorf 2,Germany
50730,Carry On Girls,United Kingdom
50731,জয় বাবা ফেলুনাথ,India
50732,Monster High: Great Scarrier Reef,United States of America
50736,The Amityville Asylum,United Kingdom
50737,Angels in Disguise,United States of America
50738,Master Minds,
50739,Blondie Plays Cupid,United States of America
50740,Return to Nuke 'Em High Volume 1,United States of America
50743,"Return to Return to Nuke 'Em High, aka Volume 2",United States of America
50747,Invocation of My Demon Brother,United States of America
50748,Force,
50753,Pee-wee's Big Holiday,United States of America
50759,Neue Vahr Süd,Germany
50761,My Big Fat Greek Wedding 2,Canada
50762,My Big Fat Greek Wedding 2,United States of America
50785,The House of Fear,United States of America
50791,The Lone Wolf Meets a Lady,United States of America
50794,День выборов 2,Russia
50795,Justice League vs. Teen Titans,United States of America
50801,Blonde Dynamite,United States of America
50803,I Spit on Your Grave III: Vengeance is Mine,United States of America
50805,Lucky Losers,United States of America
50806,The Lone Wolf Strikes,United States of America
50811,Blues Busters,United States of America
50812,Triple Trouble,United States of America
50813,Bowery Battalion,United States of America
50814,Crazy Over Horses,United States of America
50815,Let's Go Navy!,United States of America
50816,Feudin' Fools,United States of America
50817,Here Come the Marines,United States of America
50819,Hold That Line,United States of America
50821,Clipped Wings,United States of America
50822,Jalopy,United States of America
50823,Loose in London,United States of America
50826,Private Eyes,United States of America
50827,Paris Playboys,United States of America
50828,Bowery to Bagdad,United States of America
50829,Dig That Uranium,United States of America
50830,High Society,United States of America
50831,Jail Busters,United States of America
50832,Spy Chasers,United States of America
50833,Crashing Las Vegas,United States of America
50835,Hate Story,India
50839,Hate Story 2,
50842,La escopeta nacional,Spain
50846,The Huntsman: Winter's War,United States of America
50855,Neighbors 2: Sorority Rising,United States of America
50859,The Mark of the Whistler,United States of America
50860,Voice of the Whistler,United States of America
50862,Mysterious Intruder,United States of America
50864,Jiang tou,Hong Kong
50865,Vabank II,Poland
50867,劇場版「空の境界」第四章 伽藍の洞,Japan
50869,劇場版「空の境界」未来福音,Japan
50873,Blondie Goes Latin,United States of America
50874,00 Schneider - Jagd auf Nihil Baxter,Germany
50876,Otto - Der Film,Germany
50879,Otto - Der Neue Film,Germany
50882,Otto - Der Außerfriesische,Germany
50884,劇場版 マクロスF 恋離飛翼 ～サヨナラノツバサ～,Japan
50896,劇場版「空の境界」終章 空の境界,Japan
50900,図書館戦争 THE LAST MISSION,Japan
50903,Kureyon Shin-chan ankoku tamatama daitsuiseki,Japan
50905,Kolpaçino,Turkey
50907,Barbershop: The Next Cut,United States of America
50910,Finding Dory,United States of America
50922,痞子英雄：全面開戰,Taiwan
50923,痞子英雄：全面開戰,China
50926,The Cutting Edge 3: Chasing the Dream,Canada
50929,The Cutting Edge: Fire & Ice,Canada
50930,The Cutting Edge: Fire & Ice,United States of America
50933,La casa 4,Italy
50934,Tarzan and the Valley of Gold,Switzerland
50935,Tarzan and the Valley of Gold,United States of America
50942,Billa,India
50948,Il giorno più corto,Italy
50952,天地無用!真夏のイブ,Japan
50956,Pecos River,United States of America
50957,アミテージ・ザ・サード DUAL-MATRIX,Japan
50962,スレイヤーズぷれみあむ,
50966,餓狼伝説 THE MOTION PICTURE,Japan
50974,スレイヤーズＲＥＴＵＲＮ,Japan
50978,らんま1/2 超無差別決戦! 乱馬チームVS伝説の鳳凰,
50980,スレイヤーズ ぐれえと,Japan
50984,スレイヤーズごぅじゃす,Japan
51000,スレイヤーズ,Japan
51004,Tenchi Muyô! In Love 2: Haruka naru omoi,Japan
51010,天地無用! IN LOVE,Japan
51012,Karas: The Prophecy,
51018,Animation Seisaku Shinkō Kuromi-chan,Japan
51019,Animation Seisaku Shinkō Kuromi-chan: Nippon no Anime wa Watashi ga Tsukuru! 2,Japan
51020,Megazone 23,Japan
51022,MEGAZONE23 III イブの目覚め／解放の日,Japan
51024,装鬼兵MDガイスト2,Japan
51028,装鬼兵MDガイスト,Japan
51031,Lust for a Vampire,United Kingdom
51032,彼女の想いで,Japan
51034,リトル・フォレスト　冬・春,Japan
51035,Carry On Cleo,United Kingdom
51036,Kindergarten Cop 2,United States of America
51040,Billa II,India
51044,Singam,India
51050,ナナ2,Japan
51052,Alvin and the Chipmunks: The Road Chip,United States of America
51072,Leatherface,United States of America
51074,太平轮(下),China
51080,Mi nismo anđeli,Serbia
51081,Miseria e Nobiltà,Italy
51082,CyberTracker,United States of America
51084,Sams in Gefahr,Germany
51085,Alice Through the Looking Glass,United Kingdom
51086,Alice Through the Looking Glass,United States of America
51105,All of My Heart,
51107,The Bridge Part 2,
51109,Flower Shop Mystery: Mum's the Word,
51112,Alone in the Wilderness Part II,United States of America
51114,The Philadelphia Experiment,Canada
51154,Emmanuelle 2000: Emmanuelle's Intimate Encounters,United States of America
51156,Now You See Me 2,Canada
51158,Now You See Me 2,China
51160,Now You See Me 2,United Kingdom
51162,Now You See Me 2,United States of America
51348,Ken,Japan
51349,The Land Before Time XIV: Journey of the Brave,United States of America
51352,LasseMajas detektivbyrå - Stella Nostra,Sweden
51354,Olsen-banden ser rødt,Denmark
51357,Olsen-banden i Jylland,Denmark
51360,Ator l'invincibile 2,Italy
51369,Anders Matthesen: Tal For Dig Selv,Denmark
51370,Anders Matthesen: Anden På Coke?,Denmark
51371,8213: Gacy House,United States of America
51374,Teenage Mutant Ninja Turtles: Out of the Shadows,China
51375,Teenage Mutant Ninja Turtles: Out of the Shadows,United States of America
51376,Teenage Mutant Ninja Turtles: Out of the Shadows,Hong Kong
51434,The Good Witch,Canada
51440,Fast Getaway,United States of America
51446,Bullet to Beijing,
51449,Бременские музыканты,Russia
51452,The Conjuring 2,Canada
51453,The Conjuring 2,United States of America
51466,Circuitry Man II: Plughead Rewired,United States of America
51470,Never Back Down: No Surrender,United States of America
51493,雀聖,
51496,The Condemned 2,United States of America
51497,Mythica: The Necromancer,United States of America
51506,Vares – Uhkapelimerkki,Finland
51509,Vares – Pimeyden tango,Finland
51510,Vares – Huhtikuun tytöt,Finland
51511,Vares – Sukkanauhakäärme,Finland
51515,হীরক রাজার দেশে,India
51516,Dead Rising: Endgame,United States of America
51522,Jason Bourne,United Kingdom
51523,Jason Bourne,United States of America
51524,Jason Bourne,China
51552,Saheb Biwi Aur Gangster Returns,India
51564,Curious George: A Very Monkey Christmas,
51568,無宿人御子神の丈吉 牙は引き裂いた,Japan
51569,The Purge: Election Year,France
51570,The Purge: Election Year,United States of America
51593,Ice Age: Collision Course,United States of America
51601,Mythica: The Iron Crown,United States of America
51610,조선명탐정 : 사라진 놉의 딸,South Korea
51614,Les Tuche 2: Le rêve américain,France
51615,La collina degli stivali,Italy
51617,Big Man: Polizza inferno,
51618,Big Man: Polizza droga,
51619,Jeremiah,Italy
51621,Solomon,United States of America
51622,Rabbit's Moon,United States of America
51623,Puce Moment,United States of America
51624,Até que a Sorte nos Separe,Brazil
51625,La furia del Hombre Lobo,Spain
51626,Nous irons tous au paradis,France
51628,প্রতি দ্বন্দ্বী,India
51630,Sherlock Holmes: Incident at Victoria Falls,Belgium
51631,Sherlock Holmes: Incident at Victoria Falls,France
51632,Sherlock Holmes: Incident at Victoria Falls,Italy
51633,Sherlock Holmes: Incident at Victoria Falls,Luxembourg
51634,Sherlock Holmes: Incident at Victoria Falls,United Kingdom
51635,Sherlock Holmes: Incident at Victoria Falls,United States of America
51702,Sherlock Holmes and the Leading Lady,Belgium
51703,Sherlock Holmes and the Leading Lady,France
51704,Sherlock Holmes and the Leading Lady,Italy
51705,Sherlock Holmes and the Leading Lady,Luxembourg
51706,Sherlock Holmes and the Leading Lady,United Kingdom
51707,Sherlock Holmes and the Leading Lady,United States of America
51756,Soul Music,United Kingdom
51759,Wyrd Sisters,United Kingdom
51761,I tromboni di Fra' Diavolo,Italy
51762,I tromboni di Fra' Diavolo,Spain
51765,Den demokratiske terroristen,Sweden
51769,Den demokratiske terroristen,Germany
51797,キングスグレイブ ファイナルファンタジーXV,Japan
51798,キングスグレイブ ファイナルファンタジーXV,United States of America
51833,"Belle et Sébastien, l'aventure continue",France
51839,"Splash, Too",United States of America
51842,Sharknado 4: The 4th Awakens,United States of America
51851,名探偵コナン １４番目の標的（ターゲット）,Japan
51853,名探偵コナン 世紀末の魔術師,Japan
51855,Johan Falk: Kodnamn Lisa,Sweden
51858,Johan Falk: Organizatsija Karayan,Sweden
51864,Johan Falk: Barninfiltratören,Sweden
51867,Johan Falk: Alla råns moder,Sweden
51873,Johan Falk: Spelets regler,Sweden
51879,Johan Falk: Leo Gaut,Sweden
51881,Johan Falk: National Target,Germany
51883,Johan Falk: National Target,Sweden
51905,"Fjällbackamorden 02 - Havet ger, Havet tar",Sweden
51907,THE HIDDEN CHILD,Estonia
51908,THE HIDDEN CHILD,Sweden
51909,Fjällbackamorden 04 - Ljusets drottning,Sweden
51911,Fjällbackamorden 05 - Vänner för livet,Sweden
51913,Fjällbackamorden 06 - I betraktarens öga,Sweden
51916,Fjällbackamorden 03 - Strandridaren,Sweden
51918,ABCs of Death 2.5,United States of America
51919,Klovn forever,Denmark
51925,Mechanic: Resurrection,Thailand
51927,Mechanic: Resurrection,France
51929,Mechanic: Resurrection,United States of America
52033,Sniper: Ghost Shooter,United States of America
52036,Love's Long Journey,
52040,Love's Unending Legacy,United States of America
52042,Love's Unfolding Dream,United States of America
52057,Love Takes Wing,United States of America
52059,Love Finds A Home,United States of America
52063,Love Begins,
52066,Love's Everlasting Courage,United States of America
52069,Flaskepost fra P,Denmark
52081,劇場版カードキャプターさくら,Japan
52096,Bridget Jones's Baby,France
52097,Bridget Jones's Baby,Ireland
52098,Bridget Jones's Baby,United Kingdom
52099,Bridget Jones's Baby,United States of America
52116,High Strung,Romania
52117,High Strung,United States of America
52134,God's Not Dead 2,United States of America
52135,हाउसफुल 3,
52137,귀향,South Korea
52143,Quando le donne avevano la coda,Italy
52146,रेस 2,India
52152,Eccezzziunale... veramente,
52153,Hundarna i Riga,Sweden
52157,Hundarna i Riga,Denmark
52185,Polis polis potatismos,Sweden
52195,傷物語　第一部〈Ⅰ鉄血篇〉,Japan
52198,Break Blade 1: Kakusei no Toki,Japan
52204,Break Blade 3: Kyoujin no Ato,Japan
52207,Break Blade 2: Ketsubetsu no Michi,Japan
52210,Break Blade 4: Sanka no Chi,Japan
52219,Break Blade 5: Shisen no Hate,Japan
52222,Break Blade 6: Doukoku no Toride,Japan
52225,Hard Target 2,United States of America
52229,Honey 3: Dare to Dance,United States of America
52241,Винни-Пух,Russia
52243,সোনার কেল্লা,India
52244,ストリートファイターIV 新たなる絆,Japan
52246,Винни-Пух идет в гости,Russia
52248,Davy Crockett and the River Pirates,United States of America
52252,The Falcon Takes Over,United States of America
52254,Torchy Blane in Panama,United States of America
52258,Dhamaal,India
52259,Ripoux contre Ripoux,France
52267,Ripoux 3,France
52268,Винни-Пух и день забот,Russia
52270,हाउसफुल,India
52273,Batman Unlimited: Mechs vs. Mutants,
52274,Birdemic 2: The Resurrection,United States of America
52282,അക്കരെയക്കരെയക്കരെ,India
52283,The Legend of Nigger Charley,United States of America
52286,The Amityville Terror,United States of America
52289,The Work and the Glory,
52291,The Work and the Glory II: American Zion,United States of America
52292,The Work and the Glory III: A House Divided,United States of America
52293,DC Super Hero Girls: Hero of the Year,United States of America
52294,Espace détente,France
52298,Mostly Ghostly 3: One Night in Doom House,United States of America
52304,Rampage: Capital Punishment,Canada
52305,Rampage: Capital Punishment,Germany
52322,Rampage: President Down,United States of America
52323,Rampage: President Down,Canada
52328,Steiner - Das Eiserne Kreuz Teil II,Germany
52332,Shiloh 2: Shiloh Season,United Kingdom
52333,Shiloh 2: Shiloh Season,United States of America
52340,Blair Witch,Canada
52341,Blair Witch,United States of America
52360,Kickboxer: Vengeance,United States of America
52368,20世紀少年< 第２章>最後の希望,Japan
52371,20世紀少年 ぼくらの旗,Japan
52374,Gumball 3000: The Movie,United States of America
52375,Gumball 3000: The Movie,United Kingdom
52378,Paranormal Entity,United States of America
52381,０課の女　赤い手錠,Japan
52385,Twitches,United States of America
52395,The Curse of Robert the Doll,United Kingdom
52396,Blue Crush 2,South Africa
52397,Blue Crush 2,United States of America
52406,Maigret Sets a Trap,Hungary
52407,Maigret Sets a Trap,United Kingdom
52412,Otroki vo Vselennoy,Russia
52416,"Signed, Sealed, Delivered: Truth Be Told",United States of America
52417,"Signed, Sealed, Delivered: The Impossible Dream",Canada
52420,"Signed, Sealed, Delivered: From Paris With Love",United States of America
52426,"Murder, She Baked: A Deadly Recipe",Canada
52428,The Cheetah Girls 2,United States of America
52448,Teen Beach 2,United States of America
52454,"Signed, Sealed, Delivered: From the Heart",
52460,The Cheetah Girls,United States of America
52470,The Wizards Return: Alex vs. Alex,United States of America
