,titulo_original,pais
3632,The Neverending Story II: The Next Chapter,Germany
3634,The Neverending Story II: The Next Chapter,United States of America
3696,Attack of the Killer Tomatoes!,United States of America
3699,Blade,United States of America
3715,Cube,Canada
3757,Rush Hour,United States of America
3761,Urban Legend,Canada
3763,Urban Legend,France
3765,Urban Legend,United States of America
3809,The Thing,United States of America
3821,2010,United States of America
3825,Bride of Chucky,Canada
3826,Bride of Chucky,United States of America
3833,Vampires,United States of America
3893,Elizabeth,United States of America
3905,I Still Know What You Did Last Summer,United States of America
3914,The Stepford Wives,United States of America
3920,The Rugrats Movie,United States of America
3926,ゴジラ,Japan
3929,Godzilla 1985,United States of America
3932,Godzilla 1985,Japan
3959,Kingu Kongu tai Gojira,Japan
3965,King Kong,United States of America
3973,King Kong Lives,United States of America
3975,Fletch,United States of America
3978,Fletch Lives,United States of America
3984,Red Sonja,Netherlands
3985,Red Sonja,United States of America
4002,A View to a Kill,France
4003,A View to a Kill,Iceland
4004,A View to a Kill,United Kingdom
4005,A View to a Kill,United States of America
4014,Police Academy,United States of America
4018,Police Academy 2: Their First Assignment,United States of America
4022,Police Academy 3: Back in Training,United States of America
4026,Police Academy 4: Citizens on Patrol,United States of America
4028,Police Academy 5: Assignment Miami Beach,United States of America
4030,Police Academy 6: City Under Siege,United States of America
4032,Babe: Pig in the City,Australia
4037,Star Trek: Insurrection,United States of America
4041,Rambo: First Blood Part II,United States of America
4057,First Blood,United States of America
4061,Rambo III,United States of America
4077,The Jewel of the Nile,United States of America
4101,Romancing the Stone,Mexico
4104,Romancing the Stone,United States of America
4197,Cocoon,United States of America
4206,Cocoon: The Return,United States of America
4212,Rocky II,United States of America
4213,Rocky III,United States of America
4214,Rocky IV,United States of America
4215,Rocky V,United States of America
4216,The Karate Kid,United States of America
4219,"The Karate Kid, Part II",United States of America
4229,"The Karate Kid, Part III",United States of America
4233,National Lampoon's Christmas Vacation,United States of America
4235,The Gate,Canada
4236,The Gate,United States of America
4247,The Gate II: Trespassers,Canada
4248,The Gate II: Trespassers,United States of America
4253,The Fly,United States of America
4259,The Fly,Canada
4260,The Fly,United Kingdom
4271,The Fly II,Canada
4273,The Fly II,United States of America
4283,The Texas Chain Saw Massacre,United States of America
4285,The Texas Chainsaw Massacre 2,United States of America
4286,Leatherface: Texas Chainsaw Massacre III,United States of America
4288,Texas Chainsaw Massacre: The Next Generation,United States of America
4291,Crocodile Dundee,Australia
4295,Crocodile Dundee II,Australia
4296,Crocodile Dundee II,United States of America
4299,The Color of Money,United States of America
4303,8MM,United States of America
4312,Pet Sematary,United States of America
4314,Pet Sematary II,United States of America
4316,Children of the Corn II: The Final Sacrifice,United States of America
4319,Children of the Corn III: Urban Harvest,United States of America
4323,Airport,United States of America
4335,Airport 1975,United States of America
4343,Airport '77,United States of America
4351,Alligator,United States of America
4354,Westworld,United States of America
4361,Planet of the Apes,United States of America
4369,Beneath the Planet of the Apes,United States of America
4375,Battle for the Planet of the Apes,United States of America
4379,Conquest of the Planet of the Apes,United States of America
4383,Escape from the Planet of the Apes,United States of America
4387,The Concorde... Airport '79,United States of America
4396,Beyond the Poseidon Adventure,United States of America
4399,Analyze This,Australia
4400,Analyze This,United States of America
4415,Cruel Intentions,United States of America
4442,The Rage: Carrie 2,United States of America
4448,The Matrix,Australia
4449,The Matrix,United States of America
4464,The Mummy,United States of America
4476,黑侠,Hong Kong
4482,Star Wars: Episode I - The Phantom Menace,United States of America
4488,The Mummy,United Kingdom
4490,The Mummy's Curse,United States of America
4491,The Mummy's Ghost,United States of America
4492,The Mummy's Hand,United States of America
4493,The Mummy's Tomb,United States of America
4498,Superman,United Kingdom
4499,Superman,United States of America
4522,Superman II,United Kingdom
4523,Superman II,United States of America
4546,Superman III,United Kingdom
4550,Superman III,United States of America
4666,Superman IV: The Quest for Peace,United Kingdom
4671,Superman IV: The Quest for Peace,United States of America
4786,Dracula,United States of America
4789,House of Dracula,United States of America
4791,House of Frankenstein,United States of America
4799,Frankenstein,United States of America
4802,Son of Frankenstein,United States of America
4804,The Ghost of Frankenstein,United States of America
4807,Frankenstein Meets the Wolf Man,United States of America
4810,The Curse of Frankenstein,United Kingdom
4812,Son of Dracula,United States of America
4814,The Wolf Man,United States of America
4816,Howling II: Stirba - Werewolf Bitch,United Kingdom
4817,Howling II: Stirba - Werewolf Bitch,United States of America
4824,The Rocky Horror Picture Show,United Kingdom
4825,The Rocky Horror Picture Show,United States of America
4840,Swamp Thing,United States of America
4842,Austin Powers: The Spy Who Shagged Me,United States of America
4858,Tarzan,United States of America
4862,American Pie,United States of America
4870,Conte d'automne,France
4876,Muppets from Space,United States of America
4884,The Blair Witch Project,United States of America
4888,Lake Placid,United States of America
4903,Ghostbusters,United States of America
4909,Ghostbusters II,United States of America
4911,Inspector Gadget,United States of America
4959,Les Quatre Cents Coups,France
4965,Allan Quatermain and the Lost City of Gold,United States of America
4968,Damien: Omen II,United States of America
4976,Omen III: The Final Conflict,United Kingdom
4977,Omen III: The Final Conflict,United States of America
4982,Airplane!,United States of America
4983,Airplane II: The Sequel,United States of America
4984,National Lampoon’s European Vacation,United States of America
4987,National Lampoon's Vacation,United States of America
4990,Problem Child,United States of America
4994,Problem Child 2,United States of America
5000,A Christmas Story,United States of America
5001,A Christmas Story,Canada
5008,Universal Soldier: The Return,United States of America
5012,Universal Soldier,United States of America
5032,Iron Eagle,Canada
5034,Iron Eagle,United States of America
5044,Iron Eagle II,Canada
5045,Iron Eagle II,Israel
5060,Iron Eagle III,United Kingdom
5061,Iron Eagle III,United States of America
5068,Iron Eagle IV,
5070,"Die Spinnen, 1. Teil - Der Goldene See",Germany
5072,Stir of Echoes,United States of America
5075,Fright Night,United States of America
5078,Fright Night Part 2,United States of America
5080,飛鷹計劃,Hong Kong
5084,龍兄虎弟,Hong Kong
5085,龍兄虎弟,Croatia
5102,Phantasm,United States of America
5106,Psycho II,United States of America
5112,Psycho III,United States of America
5114,醉拳,Hong Kong
5116,The Dirty Dozen,United Kingdom
5121,The Dirty Dozen,United States of America
5206,Goldfinger,United Kingdom
5209,Goldfinger,United States of America
5260,From Russia with Love,United Kingdom
5296,Dr. No,United Kingdom
5308,The Blue Lagoon,United States of America
5311,Per un pugno di dollari,Italy
5313,Per un pugno di dollari,Germany
5315,Per un pugno di dollari,Spain
5335,Home Alone 2: Lost in New York,United States of America
5351,Penitentiary,
5353,Penitentiary II,United States of America
5355,The Omega Code,
5359,Bats,United States of America
5361,The Best Man,United States of America
5365,The Ipcress File,United Kingdom
5371,On Any Sunday,United States of America
5373,RoboCop,United States of America
5376,RoboCop 2,United States of America
5381,For Your Eyes Only,United Kingdom
5384,For Your Eyes Only,United States of America
5417,Licence to Kill,United Kingdom
5419,Licence to Kill,United States of America
5429,Live and Let Die,United Kingdom
5447,Thunderball,Bahamas
5449,Thunderball,France
5451,Thunderball,United Kingdom
5453,Thunderball,United States of America
5495,House on Haunted Hill,United States of America
5501,Bride of Re-Animator,United States of America
5504,Creepshow,United States of America
5522,Creepshow 2,United States of America
5524,Re-Animator,United States of America
5530,Piranha,United States of America
5531,Mister Roberts,United States of America
5535,Meatballs,Canada
5537,Meatballs Part II,United States of America
5539,Meatballs III: Summer Job,Canada
5541,Meatballs 4,
5542,劇場版ポケットモンスター ミュウツーの逆襲,Japan
5543,劇場版ポケットモンスター ミュウツーの逆襲,United States of America
5564,The Commitments,Ireland
5567,The Commitments,United Kingdom
5570,The Commitments,United States of America
5672,Poison Ivy,United States of America
5673,Poison Ivy: The New Seduction,United States of America
5679,42 Up,United Kingdom
5681,The World Is Not Enough,United Kingdom
5683,The World Is Not Enough,United States of America
5705,Toy Story 2,United States of America
5708,The Two Jakes,United States of America
5711,Deuce Bigalow: Male Gigolo,United States of America
5714,The Last Picture Show,United States of America
5716,The 7th Voyage of Sinbad,United States of America
5724,Stuart Little,Germany
5725,Stuart Little,United States of America
5748,Fantasia 2000,United States of America
5751,Next Friday,United States of America
5752,Batman: Mask of the Phantasm,United States of America
5768,Sister Act,United States of America
5770,Sister Act 2: Back in the Habit,United States of America
5772,Wayne's World,United States of America
5776,Wayne's World 2,United States of America
5780,Patriot Games,United States of America
5788,El Mariachi,Mexico
5789,El Mariachi,United States of America
5794,The Cutting Edge,United States of America
5812,Scream 3,United States of America
5818,Single White Female,United States of America
5820,The Boondock Saints,Canada
5822,The Boondock Saints,United States of America
5856,"To Sir, with Love",United Kingdom
5857,Pitch Black,United States of America
5860,The Whole Nine Yards,Canada
5863,The Whole Nine Yards,United States of America
5932,Cross of Iron,Germany
5936,Cross of Iron,United Kingdom
6060,American Graffiti,United States of America
6066,The Muppet Movie,United States of America
6072,The Muppets Take Manhattan,United Kingdom
