,titulo_original,recomendaciones
134,Aladdin and the King of Thieves,"['Aladdin', 'Aladdin', 'The Return of the King', 'The Return of the King', 'Demetrius and the Gladiators']"
135,Dirty Dancing,"['Dirty Dancing', 'Dirty Dancing: Havana Nights', 'Dirty Dancing: Havana Nights', 'Dirty Dancing: Havana Nights', 'Dirty Dancing: Havana Nights']"
136,Weekend at Bernie's,"[""Weekend at Bernie's II"", ""Weekend at Bernie's II"", 'Maigrets Night at the Crossroads', 'Alan Davies: Live at the Lyric', 'Doctor at Large']"
137,Basic Instinct,"['Basic Instinct', 'Basic Instinct', 'Basic Instinct', 'Basic Instinct', 'Basic Instinct']"
138,Children of the Corn IV: The Gathering,"['Children of the Corn', 'Children of the Corn', 'Children of the Corn', 'Children of the Corn', 'Children of the Corn']"
139,The Return of the Pink Panther,"['The Return of the Pink Panther', 'The Return of the Pink Panther', 'The Return of the Pink Panther', 'The Pink Panther', 'The Pink Panther']"
140,Escape from New York,"['Escape from New York', 'Escape from New York', 'Escape from New York', 'Escape from L.A.', 'Escape from L.A.']"
141,The Howling,"['The Howling', 'The Howling', 'Howling V: The Rebirth', 'Howling VI: The Freaks', 'The Howling: Reborn']"
142,Jean de Florette,"['Jean de Florette', 'Jean de Florette', 'Jean de Florette', 'Jean de Florette', 'Jean de Florette']"
143,Manon des Sources,"['Manon des Sources', 'Manon des Sources', 'Manon des Sources', 'Manon des Sources', 'Manon des sources']"
144,The Wrong Trousers,"['Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn', 'Wrong Turn']"
145,Best of the Best 3: No Turning Back,"['Best of the Best 2', 'Best of the Best 2', 'The Best Man', 'The Best Man', 'Blondie Knows Best']"
146,Up in Smoke,"['Up In Smoke', 'Smoke', 'Smoke', 'Smoke', 'Smoke']"
147,The Empire Strikes Back,"['The Empire Strikes Back', 'Space Chimps 2: Zartog Strikes Back', 'Dark Rising 2:  Summer Strikes Back', 'The Shadow Strikes', 'Barbarian Queen II: The Empress Strikes Back']"
