,titulo_original,duracion,año_realizacion
5724,Stuart Little,84.0,1999
5748,Fantasia 2000,74.0,1999
5751,Next Friday,98.0,2000
5752,Batman: Mask of the Phantasm,76.0,1993
5768,Sister Act,100.0,1992
5770,Sister Act 2: Back in the Habit,107.0,1993
5772,Wayne's World,94.0,1992
5776,Wayne's World 2,95.0,1993
5780,Patriot Games,117.0,1992
5788,El Mariachi,81.0,1992
5794,The Cutting Edge,101.0,1992
5812,Scream 3,116.0,2000
5818,Single White Female,107.0,1992
5820,The Boondock Saints,108.0,1999
5856,"To Sir, with Love",105.0,1967
5857,Pitch Black,108.0,2000
5860,The Whole Nine Yards,98.0,2000
5932,Cross of Iron,132.0,1977
6060,American Graffiti,110.0,1973
6066,The Muppet Movie,97.0,1979
6072,The Muppets Take Manhattan,94.0,1984
6090,Final Destination,98.0,2000
6096,Death Wish,93.0,1974
6112,Death Wish 2,88.0,1982
6115,Death Wish 3,92.0,1985
6119,Death Wish 4: The Crackdown,99.0,1987
6123,Death Wish 5: The Face of Death,95.0,1994
6139,Teenage Mutant Ninja Turtles,93.0,1990
6179,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88.0,1991
6199,Teenage Mutant Ninja Turtles III,96.0,1993
6235,Bloodsport,92.0,1988
6236,Grumpy Old Men,103.0,1993
6245,The Hustler,134.0,1961
6247,The Skulls,106.0,2000
6271,The Odd Couple,106.0,1968
6272,Force 10 from Navarone,118.0,1978
6280,How to Stuff a Wild Bikini,93.0,1965
6283,Arthur,97.0,1981
6286,Bachelor Party,105.0,1984
6292,Predator,107.0,1987
6340,American Psycho,102.0,2000
6394,East Is East,97.0,1999
6403,Caddyshack,98.0,1980
6405,The Crow: Salvation,102.0,2000
6441,The Flintstones in Viva Rock Vegas,90.0,2000
6449,Idioterne,117.0,1998
6473,Carnosaur,83.0,1993
6475,Carnosaur 2,83.0,1995
6477,Carnosaur 3: Primal Species,85.0,1996
6480,The Hidden,96.0,1987
6496,Inferno,107.0,1980
