,pelicula_id,puesto,crew_nombre,franquicia,compañia,pais,presupuesto_y,idioma_original,titulo_original,fecha_realizacion,recaudacion_y,duracion,año_realizacion,ganancia
51463380,12819,Director,Ben Gluck,Alpha and Omega Collection,Relativity Media,India,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463381,12819,Director,Ben Gluck,Alpha and Omega Collection,Crest Animation Productions,United States of America,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463382,12819,Director,Ben Gluck,Alpha and Omega Collection,Crest Animation Productions,India,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463389,12819,Director,Anthony Bell,Alpha and Omega Collection,Lions Gate Family Entertainment,United States of America,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463390,12819,Director,Anthony Bell,Alpha and Omega Collection,Lions Gate Family Entertainment,India,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463391,12819,Director,Anthony Bell,Alpha and Omega Collection,Relativity Media,United States of America,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463392,12819,Director,Anthony Bell,Alpha and Omega Collection,Relativity Media,India,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463393,12819,Director,Anthony Bell,Alpha and Omega Collection,Crest Animation Productions,United States of America,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51463394,12819,Director,Anthony Bell,Alpha and Omega Collection,Crest Animation Productions,India,20000000.0,en,Alpha and Omega,2010-09-17,39300000.0,88.0,2010,1.965
51466833,141055,Director,Jeff Conaway,Bikini Summer Collection,,,0.0,en,Bikini Summer II,1992-01-01,0.0,85.0,1992,0.0
51466850,45839,Director,Clay Weiner,Fred Collection,Derf Films,,0.0,en,FRED: The Movie,2010-09-18,0.0,89.0,2010,0.0
51466851,45839,Director,Clay Weiner,Fred Collection,Varsity Pictures,,0.0,en,FRED: The Movie,2010-09-18,0.0,89.0,2010,0.0
51466962,51620,Director,Roel Reiné,Death Race Collection,Moonlighting Films,South Africa,7000000.0,en,Death Race 2,2010-11-12,0.0,96.0,2010,0.0
51466963,51620,Director,Roel Reiné,Death Race Collection,Moonlighting Films,Germany,7000000.0,en,Death Race 2,2010-11-12,0.0,96.0,2010,0.0
51466964,51620,Director,Roel Reiné,Death Race Collection,CC Capital Arts Entertainment SRL,South Africa,7000000.0,en,Death Race 2,2010-11-12,0.0,96.0,2010,0.0
51466965,51620,Director,Roel Reiné,Death Race Collection,CC Capital Arts Entertainment SRL,Germany,7000000.0,en,Death Race 2,2010-11-12,0.0,96.0,2010,0.0
51469698,63943,Director,Andy de Emmony,East is East Collection,BBC Films,United Kingdom,3837625.0,en,West Is West,2010-10-19,3867000.0,103.0,2010,1.007654473795642
51469699,63943,Director,Andy de Emmony,East is East Collection,Assassin Films,United Kingdom,3837625.0,en,West Is West,2010-10-19,3867000.0,103.0,2010,1.007654473795642
51469750,61791,Director,Rupert Wyatt,Planet of the Apes (Reboot) Collection,Ingenious Film Partners,United States of America,93000000.0,en,Rise of the Planet of the Apes,2011-08-03,482860185.0,105.0,2011,5.192045
51469751,61791,Director,Rupert Wyatt,Planet of the Apes (Reboot) Collection,Ingenious Media,United States of America,93000000.0,en,Rise of the Planet of the Apes,2011-08-03,482860185.0,105.0,2011,5.192045
51469752,61791,Director,Rupert Wyatt,Planet of the Apes (Reboot) Collection,Twentieth Century Fox Film Corporation,United States of America,93000000.0,en,Rise of the Planet of the Apes,2011-08-03,482860185.0,105.0,2011,5.192045
51469753,61791,Director,Rupert Wyatt,Planet of the Apes (Reboot) Collection,Dune Entertainment,United States of America,93000000.0,en,Rise of the Planet of the Apes,2011-08-03,482860185.0,105.0,2011,5.192045
51469754,61791,Director,Rupert Wyatt,Planet of the Apes (Reboot) Collection,Dune Entertainment III,United States of America,93000000.0,en,Rise of the Planet of the Apes,2011-08-03,482860185.0,105.0,2011,5.192045
51469755,61791,Director,Rupert Wyatt,Planet of the Apes (Reboot) Collection,Chernin Entertainment,United States of America,93000000.0,en,Rise of the Planet of the Apes,2011-08-03,482860185.0,105.0,2011,5.192045
51469756,61791,Director,Rupert Wyatt,Planet of the Apes (Reboot) Collection,Big Screen Productions,United States of America,93000000.0,en,Rise of the Planet of the Apes,2011-08-03,482860185.0,105.0,2011,5.192045
51491702,56832,Director,Shinsuke Sato,Gantz Collection,Toho Company,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491703,56832,Director,Shinsuke Sato,Gantz Collection,Nikkatsu,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491704,56832,Director,Shinsuke Sato,Gantz Collection,Shueisha,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491705,56832,Director,Shinsuke Sato,Gantz Collection,Horipro,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491706,56832,Director,Shinsuke Sato,Gantz Collection,J Storm,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491707,56832,Director,Shinsuke Sato,Gantz Collection,Nippon Television Network Corporation (NTV),Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491708,56832,Director,Shinsuke Sato,Gantz Collection,Chubu-nippon Broadcasting Company,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491709,56832,Director,Shinsuke Sato,Gantz Collection,Hokkaido Broadcasting Co.,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491710,56832,Director,Shinsuke Sato,Gantz Collection,Fukuoka Broadcasting System (FBS),Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491711,56832,Director,Shinsuke Sato,Gantz Collection,Gantz Film Partners,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491712,56832,Director,Shinsuke Sato,Gantz Collection,Hiroshima Telecasting (HTV),Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491713,56832,Director,Shinsuke Sato,Gantz Collection,Miyagi Television Broadcasting,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491714,56832,Director,Shinsuke Sato,Gantz Collection,Shizuoka Daiichi Television,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491715,56832,Director,Shinsuke Sato,Gantz Collection,VAP,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491716,56832,Director,Shinsuke Sato,Gantz Collection,The Yomiuri Shimbun,Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51491717,56832,Director,Shinsuke Sato,Gantz Collection,Yomiuri Telecasting Corporation (YTV),Japan,0.0,ja,Gantz,2011-01-26,0.0,130.0,2011,0.0
51521654,55779,Director,Steven Quale,Final Destination Collection,New Line Cinema,United States of America,47000000.0,en,Final Destination 5,2011-08-12,157887643.0,92.0,2011,3.359311553191489
51521655,55779,Director,Steven Quale,Final Destination Collection,Practical Pictures,United States of America,47000000.0,en,Final Destination 5,2011-08-12,157887643.0,92.0,2011,3.359311553191489
51521656,55779,Director,Steven Quale,Final Destination Collection,Parallel Zide,United States of America,47000000.0,en,Final Destination 5,2011-08-12,157887643.0,92.0,2011,3.359311553191489
51522050,55465,Director,Todd Strauss-Schulson,Harold & Kumar Collection,New Line Cinema,United States of America,19000000.0,en,A Very Harold & Kumar Christmas,2011-11-04,35387212.0,108.0,2011,1.862484842105263
51522051,55465,Director,Todd Strauss-Schulson,Harold & Kumar Collection,Mandate Pictures,United States of America,19000000.0,en,A Very Harold & Kumar Christmas,2011-11-04,35387212.0,108.0,2011,1.862484842105263
51522146,38774,Director,Norman Foster,Mr. Moto Collection,Twentieth Century Fox Film Corporation,United States of America,0.0,en,Mr. Moto Takes a Chance,1938-06-24,0.0,63.0,1938,0.0
51522258,29484,Director,Norman Foster,Mr. Moto Collection,Twentieth Century Fox Film Corporation,United States of America,0.0,en,Mysterious Mr. Moto,1938-10-14,0.0,62.0,1938,0.0
51522546,62385,Director,Nobuhiko Ôbayashi,Onomichi Trilogy,Toei Company,Japan,0.0,ja,時をかける少女,1983-07-16,0.0,104.0,1983,0.0
51522547,62385,Director,Nobuhiko Ôbayashi,Onomichi Trilogy,Haruki Kadokawa Films,Japan,0.0,ja,時をかける少女,1983-07-16,0.0,104.0,1983,0.0
51522548,62385,Director,Nobuhiko Ôbayashi,Onomichi Trilogy,Kadokawa Publishing Company,Japan,0.0,ja,時をかける少女,1983-07-16,0.0,104.0,1983,0.0
51522978,56288,Director,Robert Rodriguez,Spy Kids Collection,Dimension Films,United States of America,27000000.0,en,Spy Kids: All the Time in the World,2011-08-18,85564310.0,89.0,2011,3.1690485185185184
51523077,58151,Director,Craig Gillespie,Fright Night (Reboot) Collection,Touchstone Pictures,United Kingdom,17000000.0,en,Fright Night,2011-08-18,24922237.0,106.0,2011,1.4660139411764703
51523078,58151,Director,Craig Gillespie,Fright Night (Reboot) Collection,Touchstone Pictures,United States of America,17000000.0,en,Fright Night,2011-08-18,24922237.0,106.0,2011,1.4660139411764703
51523333,21786,Director,Roar Uthaug,Cold Prey Collection,Fantefilm,Norway,0.0,no,Fritt vilt,2006-10-13,0.0,97.0,2006,0.0
51523477,52015,Director,Jim Mickle,Stake Land Collection,Glass Eye Pix,United States of America,650000.0,en,Stake Land,2010-09-30,33245.0,98.0,2010,0.0511461538461538
51523478,52015,Director,Jim Mickle,Stake Land Collection,Belladonna Productions,United States of America,650000.0,en,Stake Land,2010-09-30,33245.0,98.0,2010,0.0511461538461538
51523479,52015,Director,Jim Mickle,Stake Land Collection,Off Hollywood Pictures,United States of America,650000.0,en,Stake Land,2010-09-30,33245.0,98.0,2010,0.0511461538461538
51526627,20441,Director,Martin Barnewitz,The Messengers Collection,Ghost House Pictures,United States of America,0.0,en,Messengers 2: The Scarecrow,2009-07-21,0.0,94.0,2009,0.0
51526639,40016,Director,James Nguyen,Birdemic Collection,,United States of America,0.0,en,Birdemic: Shock and Terror,2010-02-27,0.0,95.0,2010,0.0
51526715,73358,Director,David Hare,The Worricker Collection,Heyday Films,United Kingdom,0.0,en,Page Eight,2011-08-28,0.0,99.0,2011,0.0
51526716,73358,Director,David Hare,The Worricker Collection,British Broadcasting Corporation (BBC),United Kingdom,0.0,en,Page Eight,2011-08-28,0.0,99.0,2011,0.0
51526717,73358,Director,David Hare,The Worricker Collection,Carnival Films & Television,United Kingdom,0.0,en,Page Eight,2011-08-28,0.0,99.0,2011,0.0
51526718,73358,Director,David Hare,The Worricker Collection,Masterpiece,United Kingdom,0.0,en,Page Eight,2011-08-28,0.0,99.0,2011,0.0
51526719,73358,Director,David Hare,The Worricker Collection,Runaway Fridge TV,United Kingdom,0.0,en,Page Eight,2011-08-28,0.0,99.0,2011,0.0
