,pelicula_id,director,titulo_original,recaudacion,fecha_realizacion,presupuesto,ganancia
91846,9348,Roger Donaldson,Species,113374103.0,1995-07-07,35000000.0,3.2392600857142857
92323,3512,Geoff Murphy,Under Siege 2: Dark Territory,104324083.0,1995-07-13,60000000.0,1.738734716666667
93523,50797,Nikita Mikhalkov,Утомлённые солнцем,2616503.0,1994-05-01,2800000.0,0.9344653571428572
93739,76,Richard Linklater,Before Sunrise,5535405.0,1995-01-27,2500000.0,2.214162
105403,2292,Kevin Smith,Clerks,3151130.0,1994-09-13,27000.0,116.70851851851852
105463,8467,Peter Farrelly,Dumb and Dumber,247275374.0,1994-12-16,16000000.0,15.454710875
105465,8467,Bobby Farrelly,Dumb and Dumber,247275374.0,1994-12-16,16000000.0,15.454710875
106103,15789,Kevin Lima,A Goofy Movie,35348597.0,1995-04-07,0.0,inf
106108,15789,Paul Brizzi,A Goofy Movie,35348597.0,1995-04-07,0.0,inf
106853,628,Neil Jordan,Interview with the Vampire,223664608.0,1994-11-11,60000000.0,3.7277434666666656
106973,11,George Lucas,Star Wars,775398007.0,1977-05-25,11000000.0,70.49072790909091
110789,63105,Albert Pyun,Nemesis 2 - Nebula,0.0,1995-09-26,0.0,0.0
111149,527,Lee Tamahori,Once Were Warriors,2201126.0,1994-09-02,0.0,inf
111437,18220,Anne Goursaud,Poison Ivy II: Lily,0.0,1996-01-16,0.0,0.0
112085,110,Krzysztof Kieślowski,Trois couleurs : Rouge,0.0,1994-05-27,0.0,0.0
125045,108,Krzysztof Kieślowski,Trois couleurs : Bleu,0.0,1993-01-10,0.0,0.0
128213,109,Krzysztof Kieślowski,Trois couleurs : Blanc,0.0,1994-01-26,0.0,0.0
137933,22586,Richard Rich,The Swan Princess,9771658.0,1994-11-18,35000000.0,0.2791902285714285
137946,11395,John Pasquin,The Santa Clause,189833357.0,1994-11-10,22000000.0,8.628788954545454
138650,9059,Ernest R. Dickerson,Tales from the Crypt: Demon Knight,0.0,1995-01-13,0.0,0.0
139298,193,David Carson,Star Trek: Generations,120000000.0,1994-11-17,38000000.0,3.1578947368421053
139570,3049,Tom Shadyac,Ace Ventura: Pet Detective,107217396.0,1994-02-04,15000000.0,7.1478264
139874,9331,Phillip Noyce,Clear and Present Danger,215887717.0,1994-08-03,62000000.0,3.482059951612903
140522,9495,Alex Proyas,The Crow,94000000.0,1994-05-11,15000000.0,6.266666666666667
144122,888,Brian Levant,The Flintstones,341631208.0,1994-05-26,46000000.0,7.426765391304348
145337,8587,Roger Allers,The Lion King,788241776.0,1994-06-23,45000000.0,17.516483911111113
145343,8587,Rob Minkoff,The Lion King,788241776.0,1994-06-23,45000000.0,17.516483911111113
147353,11596,Wes Craven,New Nightmare,18090181.0,1994-10-13,14000000.0,1.2921557857142858
148025,854,Chuck Russell,The Mask,351583407.0,1994-07-29,23000000.0,15.286235086956522
150073,36593,Peter Segal,The Naked Gun 33⅓: The Final Insult,51132598.0,1994-03-18,30000000.0,1.7044199333333334
150197,11011,Donald Petrie,Ri¢hie Ri¢h,0.0,1994-12-19,40000000.0,0.0
150917,1637,Jan de Bont,Speed,350448145.0,1994-06-09,30000000.0,11.681604833333331
151439,8831,Peter Hyams,Timecop,101646581.0,1994-09-15,27000000.0,3.764688185185185
185999,11667,Steven E. de Souza,Street Fighter,99423521.0,1994-12-22,35000000.0,2.8406720285714284
190031,75555,Vincent Robert,The Fear,0.0,1995-01-20,0.0,0.0
190207,8011,Andrew Morahan,Highlander III: The Sorcerer,36800000.0,1994-11-29,26000000.0,1.4153846153846157
200575,2758,Barry Sonnenfeld,Addams Family Values,48919043.0,1993-11-19,0.0,inf
202438,9409,John Badham,Another Stakeout,0.0,1993-07-22,0.0,0.0
202474,306,John Landis,Beverly Hills Cop III,119208989.0,1994-05-24,50000000.0,2.38417978
203302,11310,Paul Weiland,City Slickers II: The Legend of Curly's Gold,0.0,1994-06-10,0.0,0.0
205990,24257,Bruce Brown,The Endless Summer 2,0.0,1994-06-03,0.0,0.0
205991,1634,Simon Wincer,Free Willy,153698625.0,1993-07-16,20000000.0,7.68493125
211991,5503,Andrew Davis,The Fugitive,368875760.0,1993-08-06,44000000.0,8.38354
213541,2019,John Woo,Hard Target,74189677.0,1993-08-20,18000000.0,4.121648722222222
215845,9255,Jim Abrahams,Hot Shots! Part Deux,133752825.0,1993-05-21,25000000.0,5.350113
216313,16097,Eric Meza,House Party 3,0.0,1994-01-01,0.0,0.0
216326,329,Steven Spielberg,Jurassic Park,920100000.0,1993-06-11,63000000.0,14.604761904761904
217190,11231,Christopher Cain,The Next Karate Kid,15826984.0,1994-07-18,12000000.0,1.3189153333333334
217205,5550,Fred Dekker,RoboCop 3,10696210.0,1993-04-17,22000000.0,0.4861913636363636
218305,11236,Agnieszka Holland,The Secret Garden,0.0,1993-08-13,0.0,0.0
218953,8850,Russell Mulcahy,The Shadow,48063435.0,1994-07-01,25000000.0,1.9225374
219553,78,Ridley Scott,Blade Runner,33139618.0,1982-06-25,28000000.0,1.1835577857142856
332548,9066,Betty Thomas,The Brady Bunch Movie,0.0,1995-02-16,0.0,0.0
332636,771,Chris Columbus,Home Alone,476684675.0,1990-11-09,18000000.0,26.482481944444444
333132,812,Ron Clements,Aladdin,504050219.0,1992-11-25,28000000.0,18.001793535714285
333138,812,John Musker,Aladdin,504050219.0,1992-11-25,28000000.0,18.001793535714285
334860,280,James Cameron,Terminator 2: Judgment Day,520000000.0,1991-07-01,100000000.0,5.2
410460,268,Tim Burton,Batman,411348924.0,1989-06-23,35000000.0,11.7528264
415932,274,Jonathan Demme,The Silence of the Lambs,272742922.0,1991-02-01,19000000.0,14.354890631578948
418092,10020,Gary Trousdale,Beauty and the Beast,377350553.0,1991-11-13,25000000.0,15.09402212
418122,10020,Kirk Wise,Beauty and the Beast,377350553.0,1991-11-13,25000000.0,15.09402212
436992,10824,Bill Condon,Candyman: Farewell to the Flesh,13940383.0,1995-03-17,0.0,inf
437048,25059,David R. Ellis,Homeward Bound II: Lost in San Francisco,32709423.0,1996-03-08,0.0,inf
438264,11827,Gerald Potterton,Heavy Metal,0.0,1981-08-07,9300000.0,0.0
438416,8766,Kevin Yagher,Hellraiser: Bloodline,16675000.0,1996-03-08,4000000.0,4.16875
438425,8766,Joe Chappelle,Hellraiser: Bloodline,16675000.0,1996-03-08,4000000.0,4.16875
441332,19042,Paul Sabella,All Dogs Go to Heaven 2,8620678.0,1996-03-29,0.0,inf
441337,19042,Larry Leker,All Dogs Go to Heaven 2,8620678.0,1996-03-29,0.0,inf
442082,954,Brian De Palma,Mission: Impossible,457696359.0,1996-05-22,80000000.0,5.7212044875
445322,8840,Rob Cohen,DragonHeart,115267375.0,1996-05-31,57000000.0,2.022234649122807
445340,25087,Alan Mehrez,Bloodsport II,684351.0,1996-03-01,0.0,inf
445368,5801,Satyajit Ray,পথের পাঁচালী,536364.0,1955-08-26,0.0,inf
445387,896,Satyajit Ray,অপুর সংসার,16000.0,1959-05-01,0.0,inf
445394,8072,Jean-Luc Godard,"Alphaville, une étrange aventure de Lemmy Caution",0.0,1965-05-05,220000.0,0.0
448634,20762,Robert Mandel,The Substitute,0.0,1996-04-19,0.0,0.0
448730,11687,Jean-Marie Poiré,Les visiteurs,0.0,1993-01-27,0.0,0.0
449945,9323,Mamoru Oshii,GHOST IN THE SHELL,2287714.0,1995-11-18,0.0,inf
451727,532,Nick Park,A Close Shave,0.0,1995-12-24,0.0,0.0
451745,10547,David Twohy,The Arrival,14048372.0,1996-05-31,25000000.0,0.56193488
464993,77771,Djibril Diop Mambéty,Touki-Bouki,0.0,1973-07-01,0.0,0.0
465329,627,Danny Boyle,Trainspotting,16491080.0,1996-02-23,4000000.0,4.12277
467629,602,Roland Emmerich,Independence Day,816969268.0,1996-06-25,75000000.0,10.892923573333332
470113,10545,Gary Trousdale,The Hunchback of Notre Dame,100138851.0,1996-06-21,100000000.0,1.00138851
470119,10545,Kirk Wise,The Hunchback of Notre Dame,100138851.0,1996-06-21,100000000.0,1.00138851
470725,9327,Tom Shadyac,The Nutty Professor,128769345.0,1996-06-26,54000000.0,2.3846175
472069,12606,Arlene Sanford,A Very Brady Sequel,0.0,1996-08-23,0.0,0.0
472084,10546,Tim Pope,The Crow: City of Angels,17917287.0,1996-08-29,13000000.0,1.378252846153846
472354,9431,Gilbert Adler,Bordello of Blood,5600000.0,1996-08-16,15000000.0,0.3733333333333333
473290,10061,John Carpenter,Escape from L.A.,42277365.0,1996-08-09,50000000.0,0.8455473
474378,238,Francis Ford Coppola,The Godfather,245066411.0,1972-03-14,6000000.0,40.844401833333336
477162,11134,Stanley Tong,警察故事 III：超級警察,20483423.0,1992-07-04,900000.0,22.75935888888889
479178,38955,Stanley Tong,超级计划,0.0,1993-10-21,0.0,0.0
479313,19004,Roy Allen Smith,The Land Before Time III: The Time of the Great Giving,0.0,1995-03-16,0.0,0.0
479430,10987,Joe Chappelle,Halloween: The Curse of Michael Myers,15116634.0,1995-09-29,5000000.0,3.0233268
479498,62,Stanley Kubrick,2001: A Space Odyssey,68700000.0,1968-04-10,10500000.0,6.542857142857143
496778,3529,W.S. Van Dyke,The Thin Man,1423000.0,1934-05-25,226408.0,6.285113600226141
497336,10331,George A. Romero,Night of the Living Dead,30000000.0,1968-10-01,114000.0,263.1578947368421
497544,39448,Corey Yuen Kwai,Huang jia shi jie,0.0,1985-01-01,0.0,0.0
497696,10680,Robert Lieberman,D3: The Mighty Ducks,22955097.0,1996-10-04,0.0,inf
497984,18660,Norman Tokar,The Apple Dumpling Gang,0.0,1975-07-01,0.0,0.0
498056,35115,Norman Foster,"Davy Crockett, King of the Wild Frontier",0.0,1955-05-25,0.0,0.0
498344,14821,John Hough,Escape to Witch Mountain,20000000.0,1975-03-21,0.0,inf
498472,14136,Robert Stevenson,The Love Bug,0.0,1968-12-22,0.0,0.0
498742,10869,Robert Stevenson,Herbie Rides Again,0.0,1974-02-14,0.0,0.0
498838,19186,David Swift,The Parent Trap,0.0,1961-06-12,0.0,0.0
498894,6878,Duwayne Dunham,Homeward Bound: The Incredible Journey,0.0,1993-02-03,0.0,0.0
499854,15944,Charles Barton,The Shaggy Dog,0.0,1959-03-19,0.0,0.0
499918,11224,Clyde Geronimi,Cinderella,263591415.0,1950-03-04,2900000.0,90.89359137931037
499926,11224,Wilfred Jackson,Cinderella,263591415.0,1950-03-04,2900000.0,90.89359137931037
499934,11224,Hamilton Luske,Cinderella,263591415.0,1950-03-04,2900000.0,90.89359137931037
502030,15947,William Roberts,The Three Caballeros,0.0,1944-07-21,0.0,0.0
502039,15947,Clyde Geronimi,The Three Caballeros,0.0,1944-07-21,0.0,0.0
502048,15947,Jack Kinney,The Three Caballeros,0.0,1944-07-21,0.0,0.0
502057,15947,Harold Young,The Three Caballeros,0.0,1944-07-21,0.0,0.0
502066,15947,Norman Ferguson,The Three Caballeros,0.0,1944-07-21,0.0,0.0
502975,10948,Ted Berman,The Fox and the Hound,29800000.0,1981-07-10,12000000.0,2.4833333333333334
502979,10948,Art Stevens,The Fox and the Hound,29800000.0,1981-07-10,12000000.0,2.4833333333333334
502983,10948,Richard Rich,The Fox and the Hound,29800000.0,1981-07-10,12000000.0,2.4833333333333334
503599,11229,Matthew Bright,Freeway,0.0,1996-08-23,3000000.0,0.0
504733,562,John McTiernan,Die Hard,140767956.0,1988-07-15,28000000.0,5.027427
509809,10163,Brett Leonard,The Lawnmower Man,32101000.0,1992-03-05,10000000.0,3.2101
513373,11238,Tad Stones,Aladdin and the King of Thieves,0.0,1996-05-20,0.0,0.0
513463,88,Emile Ardolino,Dirty Dancing,213954274.0,1987-08-21,6000000.0,35.659045666666664
514435,8491,Ted Kotcheff,Weekend at Bernie's,30218387.0,1989-07-05,6500000.0,4.648982615384615
514442,402,Paul Verhoeven,Basic Instinct,352927224.0,1992-03-20,49000000.0,7.202596408163266
519482,25750,Greg Spence,Children of the Corn IV: The Gathering,0.0,1996-10-08,0.0,0.0
519494,11843,Blake Edwards,The Return of the Pink Panther,41833347.0,1975-05-21,5000000.0,8.3666694
522806,1103,John Carpenter,Escape from New York,50244700.0,1981-05-22,6000000.0,8.374116666666668
523702,11298,Joe Dante,The Howling,17985893.0,1981-04-03,1000000.0,17.985893
524494,4480,Claude Berri,Jean de Florette,0.0,1986-08-27,4940939.0,0.0
525214,4481,Claude Berri,Manon des Sources,0.0,1986-11-19,0.0,0.0
525414,531,Nick Park,The Wrong Trousers,0.0,1993-12-17,0.0,0.0
525423,36555,Phillip Rhee,Best of the Best 3: No Turning Back,0.0,1995-05-17,0.0,0.0
525438,11455,Lou Adler,Up in Smoke,41590893.0,1978-01-01,0.0,inf
525450,1891,Irvin Kershner,The Empire Strikes Back,538400000.0,1980-05-17,18000000.0,29.91111111111111
528186,85,Steven Spielberg,Raiders of the Lost Ark,389925971.0,1981-06-12,18000000.0,21.662553944444443
532986,679,James Cameron,Aliens,183316455.0,1986-07-18,18500000.0,9.908997567567567
